DNR_ID_Site_Number,Year,Mean(log_phosphorus),Std Dev(log_phosphorus),Mean(Secchi_Depth_RESULT),Std Dev(Secchi_Depth_RESULT),rec_1,rec_2,rec_3,rec_4,rec_5,seasonal_1,seasonal_2,seasonal_3,seasonal_4,seasonal_5,physical_1,physical_2,physical_3,physical_4,physical_5,LAKE_NAME,MAJOR_WATERSHED,longitude,latitude,num.rec.readings,num.physical.readings,rec.avg,physical.avg,seasonal.grade,LakeSite,Number Properties,Mean(ACRES_POLY),Std Dev(ACRES_POLY),N(Ag Preserve - Yes),N(Basement - Yes),Median(EMV_TOTAL),Interquartile Range(EMV_TOTAL),Median(FIN_SQ_FT),Interquartile Range(FIN_SQ_FT),N(Green ACRE - Yes),N(Homestead - Partial),N(Homestead - Yes),N(Single Unit),N(Multiple Unit),Median(SALE_VALUE),Interquartile Range(SALE_VALUE),Median(TOTAL_TAX),Interquartile Range(TOTAL_TAX),N(Sales that year),N(Built that year)
02000400-01,2004,-1.86679158,0.584554604,1.186666667,0.708989892,6,3,4,1,0,0,1,0,0,0,4,2,2,6,0,Peltier Lake,Mississippi River - Twin Cities,-93.05836626,45.17785408,14,14,2,2.714285714,D,Peltier Lake-1,450,3.433616071,6.372254867,0,0,169026,222384.5,0,0,4,0,220,0,0,152950,113000,2750,1310,34,0
02000400-01,2005,-1.746858212,0.669488626,1.3625,1.026888504,5,0,7,2,1,0,1,0,0,0,5,0,1,8,1,Peltier Lake,Mississippi River - Twin Cities,-93.05836626,45.17785408,15,15,2.6,3,D,Peltier Lake-1,448,3.429730942,6.385359302,0,0,202800,251675,906,1534,0,0,224,0,0,350000,297147,,,0,8
02000400-01,2006,-1.625239454,0.765909672,0.723529412,0.664764443,4,1,1,7,4,1,0,0,0,0,3,2,1,7,4,Peltier Lake,Mississippi River - Twin Cities,-93.05836626,45.17785408,17,17,3.352941177,3.411764706,F,Peltier Lake-1,458,3.376491228,6.327014327,0,0,224600,274425,906,1535.25,0,0,226,0,0,349000,237025.25,3576,1654.5,20,2
02000400-01,2007,-1.782242367,0.793492765,0.7375,0.241867732,2,3,5,2,4,0,1,0,0,0,2,2,2,6,4,Peltier Lake,Mississippi River - Twin Cities,-93.05836626,45.17785408,16,16,3.1875,3.5,D,Peltier Lake-1,480,3.158912134,6.199643297,0,0,184300,267750,898.5,1518.25,0,0,212,0,0,374000,286750,3520.5,1404,16,4
02000500-01,2004,-1.788977485,0.616622083,0.705,0.363967337,0,0,1,8,0,1,0,0,0,0,0,4,0,4,0,George Watch Lake,Mississippi River - Twin Cities,-93.08905468,45.17640481,9,8,3.888888889,3,F,George Watch Lake-1,44,18.96409091,13.24345899,0,0,184504,72500,0,0,0,0,2,0,0,250000,0,1145,2079,0,0
02000500-01,2005,-1.913823754,0.928383686,0.681666667,0.402759421,0,0,1,9,0,0,1,0,0,0,3,1,1,5,0,George Watch Lake,Mississippi River - Twin Cities,-93.08905468,45.17640481,10,10,3.9,2.8,D,George Watch Lake-1,44,18.96363636,13.24392745,0,0,185050,72500,0,0,0,0,2,0,0,250000,0,,,0,0
02000500-01,2006,-1.916094409,0.527030713,0.728571429,0.292770022,0,0,0,7,0,1,0,0,0,0,0,4,1,0,1,George Watch Lake,Mississippi River - Twin Cities,-93.08905468,45.17640481,7,6,4,2.666666667,F,George Watch Lake-1,50,16.7688,13.78376221,0,0,171600,179025,0,0,0,0,2,0,0,,,584,2803,0,0
02000500-01,2007,-1.845520269,0.714548861,0.53,0.339705755,0,0,0,8,0,1,0,0,0,0,0,2,1,4,1,George Watch Lake,Mississippi River - Twin Cities,-93.08905468,45.17640481,8,8,4,3.5,F,George Watch Lake-1,50,16.6704,13.71266433,0,0,183800,165225,0,0,0,0,2,0,0,,,505,2543,0,0
02000500-01,2008,-2.040056328,0.56504787,0.55,0.236796806,1,1,0,10,0,0,1,0,0,0,0,5,5,1,0,George Watch Lake,Mississippi River - Twin Cities,-93.08905468,45.17640481,12,11,3.583333333,2.636363636,D,George Watch Lake-1,38,24.08394737,13.52053084,0,0,183800,213300,0,0,0,0,2,0,0,,,584,3457,0,0
02000500-01,2009,-2.302351452,0.435750452,0.538,0.153969694,0,1,0,13,0,0,1,0,0,0,0,5,6,3,0,George Watch Lake,Mississippi River - Twin Cities,-93.08905468,45.17640481,14,14,3.857142857,2.857142857,D,George Watch Lake-1,38,24.08394737,13.52053084,0,0,178600,204700,0,0,0,0,2,0,0,,,584,3360,0,0
